job_id,skill
train-3656,sql
train-3656,machine learning
train-3674,sql
train-3674,communication
train-3675,excel
train-3676,sql
train-3676,data analysis
train-3677,excel
train-3683,excel
train-3700,python
train-3705,python
train-3716,python
train-3716,sql
train-3716,java
train-3716,machine learning
train-3718,node.js
train-3718,aws
train-3726,sql
train-3730,python
train-3736,sql
train-3736,power bi
train-3736,tableau
train-3737,machine learning
train-3738,sql
train-3738,java
train-3738,javascript
train-3747,aws
train-3747,project management
train-3753,python
train-3753,sql
train-3753,java
train-3758,communication
train-3762,sql
train-3762,javascript
train-3767,communication
train-3770,java
train-3770,javascript
train-3772,communication
train-3773,python
train-3775,python
train-3778,excel
train-3784,communication
train-3787,sql
train-3791,communication
train-3793,python
train-3793,java
train-3793,machine learning
train-3795,sql
train-3797,communication
train-3800,communication
train-3806,python
train-3806,sql
train-3811,excel
train-3816,communication
train-3816,project management
train-3819,javascript
train-3827,java
train-3827,javascript
train-3828,java
train-3834,project management
train-3837,sql
train-3837,excel
train-3837,power bi
train-3843,sql
train-3843,excel
train-3845,project management
train-3846,python
train-3846,sql
train-3846,tableau
train-3848,python
train-3848,java
train-3848,machine learning
train-3850,sql
train-3850,excel
train-3851,sql
train-3851,power bi
train-3851,tableau
train-3862,power bi
train-3862,tableau
train-3862,project management
train-3864,python
train-3864,excel
train-3864,tableau
train-3881,java
train-3881,javascript
train-3881,react
train-3882,python
train-3886,sql
train-3886,data analysis
train-3887,data analysis
train-3887,communication
train-3890,python
train-3891,data analysis
train-3895,python
train-3895,sql
train-3895,excel
train-3896,sql
train-3902,machine learning
train-3903,project management
train-3905,project management
train-3908,project management
train-3913,data analysis
train-3918,sql
train-3918,java
train-3919,java
train-3929,communication
train-3937,tableau
train-3947,python
train-3955,javascript
train-3956,sql
train-3956,data analysis
train-3957,java
train-3968,sql
train-3969,excel
train-3969,data analysis
train-3975,project management
train-3976,sql
train-3982,sql
train-3982,java
train-3983,excel
